tax_order,tax_suborder,tax_greatgroup,tax_subgroup
alfisols,aqualfs,albaqualfs,typic albaqualfs
alfisols,aqualfs,albaqualfs,udollic albaqualfs
alfisols,aqualfs,albaqualfs,umbric albaqualfs
alfisols,aqualfs,albaqualfs,vertic albaqualfs
alfisols,aqualfs,albaqualfs,mollic albaqualfs
alfisols,aqualfs,albaqualfs,arenic albaqualfs
alfisols,aqualfs,albaqualfs,chromic vertic albaqualfs
alfisols,aqualfs,albaqualfs,aeric albaqualfs
alfisols,aqualfs,albaqualfs,aeric vertic albaqualfs
alfisols,aqualfs,albaqualfs,aquandic albaqualfs
alfisols,aqualfs,cryaqualfs,typic cryaqualfs
alfisols,aqualfs,duraqualfs,typic duraqualfs
alfisols,aqualfs,endoaqualfs,typic endoaqualfs
alfisols,aqualfs,endoaqualfs,udollic endoaqualfs
alfisols,aqualfs,endoaqualfs,umbric endoaqualfs
alfisols,aqualfs,endoaqualfs,vertic endoaqualfs
alfisols,aqualfs,endoaqualfs,grossarenic endoaqualfs
alfisols,aqualfs,endoaqualfs,mollic endoaqualfs
alfisols,aqualfs,endoaqualfs,arenic endoaqualfs
alfisols,aqualfs,endoaqualfs,chromic vertic endoaqualfs
alfisols,aqualfs,endoaqualfs,fragic endoaqualfs
alfisols,aqualfs,endoaqualfs,aeric endoaqualfs
alfisols,aqualfs,endoaqualfs,aeric fragic endoaqualfs
alfisols,aqualfs,endoaqualfs,aeric umbric endoaqualfs
alfisols,aqualfs,endoaqualfs,aquandic endoaqualfs
alfisols,aqualfs,epiaqualfs,typic epiaqualfs
alfisols,aqualfs,epiaqualfs,udollic epiaqualfs
alfisols,aqualfs,epiaqualfs,umbric epiaqualfs
alfisols,aqualfs,epiaqualfs,vertic epiaqualfs
alfisols,aqualfs,epiaqualfs,grossarenic epiaqualfs
alfisols,aqualfs,epiaqualfs,mollic epiaqualfs
alfisols,aqualfs,epiaqualfs,arenic epiaqualfs
alfisols,aqualfs,epiaqualfs,chromic vertic epiaqualfs
alfisols,aqualfs,epiaqualfs,fragic epiaqualfs
alfisols,aqualfs,epiaqualfs,aeric chromic vertic epiaqualfs
alfisols,aqualfs,epiaqualfs,aeric epiaqualfs
alfisols,aqualfs,epiaqualfs,aeric fragic epiaqualfs
alfisols,aqualfs,epiaqualfs,aeric umbric epiaqualfs
alfisols,aqualfs,epiaqualfs,aeric vertic epiaqualfs
alfisols,aqualfs,epiaqualfs,aquandic epiaqualfs
alfisols,aqualfs,fragiaqualfs,typic fragiaqualfs
alfisols,aqualfs,fragiaqualfs,vermic fragiaqualfs
alfisols,aqualfs,fragiaqualfs,plinthic fragiaqualfs
alfisols,aqualfs,fragiaqualfs,humic fragiaqualfs
alfisols,aqualfs,fragiaqualfs,aeric fragiaqualfs
alfisols,aqualfs,glossaqualfs,typic glossaqualfs
alfisols,aqualfs,glossaqualfs,mollic glossaqualfs
alfisols,aqualfs,glossaqualfs,arenic glossaqualfs
alfisols,aqualfs,glossaqualfs,fragic glossaqualfs
alfisols,aqualfs,glossaqualfs,histic glossaqualfs
alfisols,aqualfs,glossaqualfs,aeric fragic glossaqualfs
alfisols,aqualfs,glossaqualfs,aeric glossaqualfs
alfisols,aqualfs,kandiaqualfs,typic kandiaqualfs
alfisols,aqualfs,kandiaqualfs,umbric kandiaqualfs
alfisols,aqualfs,kandiaqualfs,grossarenic kandiaqualfs
alfisols,aqualfs,kandiaqualfs,plinthic kandiaqualfs
alfisols,aqualfs,kandiaqualfs,arenic kandiaqualfs
alfisols,aqualfs,kandiaqualfs,aeric kandiaqualfs
alfisols,aqualfs,kandiaqualfs,aeric umbric kandiaqualfs
alfisols,aqualfs,natraqualfs,typic natraqualfs
alfisols,aqualfs,natraqualfs,vermic natraqualfs
