order,suborder,greatgroup,subgroup,code,order_code,suborder_code,greatgroup_code,subgroup_code
gelisols,histels,folistels,lithic folistels,AAAA,A,AA,AAA,AAAA
gelisols,histels,folistels,glacic folistels,AAAB,A,AA,AAA,AAAB
gelisols,histels,folistels,typic folistels,AAAC,A,AA,AAA,AAAC
gelisols,histels,glacistels,hemic glacistels,AABA,A,AA,AAB,AABA
gelisols,histels,glacistels,sapric glacistels,AABB,A,AA,AAB,AABB
gelisols,histels,glacistels,typic glacistels,AABC,A,AA,AAB,AABC
gelisols,histels,fibristels,lithic fibristels,AACA,A,AA,AAC,AACA
gelisols,histels,fibristels,terric fibristels,AACB,A,AA,AAC,AACB
gelisols,histels,fibristels,fluvaquentic fibristels,AACC,A,AA,AAC,AACC
gelisols,histels,fibristels,sphagnic fibristels,AACD,A,AA,AAC,AACD
gelisols,histels,fibristels,typic fibristels,AACE,A,AA,AAC,AACE
gelisols,histels,hemistels,lithic hemistels,AADA,A,AA,AAD,AADA
gelisols,histels,hemistels,terric hemistels,AADB,A,AA,AAD,AADB
gelisols,histels,hemistels,fluvaquentic hemistels,AADC,A,AA,AAD,AADC
gelisols,histels,hemistels,typic hemistels,AADD,A,AA,AAD,AADD
gelisols,histels,sapristels,lithic sapristels,AAEA,A,AA,AAE,AAEA
gelisols,histels,sapristels,terric sapristels,AAEB,A,AA,AAE,AAEB
gelisols,histels,sapristels,fluvaquentic sapristels,AAEC,A,AA,AAE,AAEC
gelisols,histels,sapristels,typic sapristels,AAED,A,AA,AAE,AAED
gelisols,turbels,histoturbels,lithic histoturbels,ABAA,A,AB,ABA,ABAA
gelisols,turbels,histoturbels,glacic histoturbels,ABAB,A,AB,ABA,ABAB
gelisols,turbels,histoturbels,ruptic histoturbels,ABAC,A,AB,ABA,ABAC
gelisols,turbels,histoturbels,typic histoturbels,ABAD,A,AB,ABA,ABAD
gelisols,turbels,aquiturbels,lithic aquiturbels,ABBA,A,AB,ABB,ABBA
gelisols,turbels,aquiturbels,glacic aquiturbels,ABBB,A,AB,ABB,ABBB
gelisols,turbels,aquiturbels,sulfuric aquiturbels,ABBC,A,AB,ABB,ABBC
gelisols,turbels,aquiturbels,ruptic-histic aquiturbels,ABBD,A,AB,ABB,ABBD
gelisols,turbels,aquiturbels,psammentic aquiturbels,ABBE,A,AB,ABB,ABBE
gelisols,turbels,aquiturbels,typic aquiturbels,ABBF,A,AB,ABB,ABBF
gelisols,turbels,anhyturbels,lithic anhyturbels,ABCA,A,AB,ABC,ABCA
gelisols,turbels,anhyturbels,glacic anhyturbels,ABCB,A,AB,ABC,ABCB
gelisols,turbels,anhyturbels,petrogypsic anhyturbels,ABCC,A,AB,ABC,ABCC
gelisols,turbels,anhyturbels,gypsic anhyturbels,ABCD,A,AB,ABC,ABCD
gelisols,turbels,anhyturbels,nitric anhyturbels,ABCE,A,AB,ABC,ABCE
gelisols,turbels,anhyturbels,salic anhyturbels,ABCF,A,AB,ABC,ABCF
gelisols,turbels,anhyturbels,calcic anhyturbels,ABCG,A,AB,ABC,ABCG
gelisols,turbels,anhyturbels,typic anhyturbels,ABCH,A,AB,ABC,ABCH
gelisols,turbels,molliturbels,lithic molliturbels,ABDA,A,AB,ABD,ABDA
gelisols,turbels,molliturbels,glacic molliturbels,ABDB,A,AB,ABD,ABDB
gelisols,turbels,molliturbels,vertic molliturbels,ABDC,A,AB,ABD,ABDC
gelisols,turbels,molliturbels,andic molliturbels,ABDD,A,AB,ABD,ABDD
gelisols,turbels,molliturbels,vitrandic molliturbels,ABDE,A,AB,ABD,ABDE
gelisols,turbels,molliturbels,folistic molliturbels,ABDF,A,AB,ABD,ABDF
gelisols,turbels,molliturbels,cumulic molliturbels,ABDG,A,AB,ABD,ABDG
gelisols,turbels,molliturbels,aquic molliturbels,ABDH,A,AB,ABD,ABDH
gelisols,turbels,molliturbels,typic molliturbels,ABDI,A,AB,ABD,ABDI
gelisols,turbels,umbriturbels,lithic umbriturbels,ABEA,A,AB,ABE,ABEA
