"sgm","text"
"abruptic","an abrupt change in texture with depth"
"acraquoxic",""
"acrudoxic",""
"acrustoxic",""
"aeric",""
"albaquic",""
"albaquultic",""
"albic",""
"alfic",""
"alic",""
"andic",""
"anhydritic",""
"anionic",""
"anthraltic",""
"anthraquic",""
"anthrodensic",""
"anthropic",""
"anthroportic",""
"aqualfic",""
"aquandic",""
"aquentic",""
"aqueptic",""
"aquertic",""
"aquic",""
"aquicambidic",""
"aquodic",""
"aquollic",""
"aquultic",""
"arenic",""
"argiaquic",""
"argic",""
"argidic",""
"argiduridic",""
"aridic",""
"calciargidic",""
"calcic",""
"calcidic",""
"cambidic",""
"chromic",""
"cumulic",""
"duric",""
"duridic",""
"durinodic",""
"dystric",""
"entic",""
"eutric",""
"fibric",""
"fluvaquentic",""
"fluventic",""
"folistic",""
"fragiaquic",""
"fragic",""
"glacic",""
"glossaquic",""
"glossic",""
"grossarenic",""
"grossic",""
"gypsic",""
"halic",""
"haplargidic",""
"haplic",""
"haplocalcidic",""
"haploduridic",""
"haploplaggic",""
"haploxeralfic",""
"haploxerandic",""
"haploxerollic",""
"haplustandic",""
"hemic",""
"histic",""
"humaqueptic",""
"humic",""
"hydraquentic",""
"hydric",""
"inceptic",""
"kandic",""
"kandiudalfic",""
"kandiustalfic",""
"kanhaplic",""
"lamellic",""
"leptic",""
"limnic",""
"lithic",""
"lithic-ruptic-entic",""
"mollic",""
"natrargidic",""
"natric",""
"natrixeralfic",""
"nitric",""
"ombroaquic",""
"oxic",""
"oxyaquic",""
"pachic",""
"paleargidic",""
"palexerollic",""
"petrocalcic",""
"petrocalcidic",""
"petroferric",""
"petrogypsic",""
"petronodic",""
"placic",""
"plinthaquic",""
"plinthic",""
"psammentic",""
"rendollic",""
"rhodic",""
"ruptic",""
"ruptic-alfic",""
"ruptic-entic",""
"ruptic-histic",""
"ruptic-inceptic",""
"ruptic-lithic",""
"ruptic-ultic",""
"salic",""
"salidic",""
"sapric",""
"sodic",""
"sombric",""
"sphagnic",""
"spodic",""
"sulfaqueptic",""
"sulfic",""
"sulfuric",""
"terric",""
"thaptic",""
"thapto-histic",""
"torrertic",""
"torrifluventic",""
"torriorthentic",""
"torripsammentic",""
"torroxic",""
"turbic",""
"typic",""
"udandic",""
"udertic",""
"udic",""
"udifluventic",""
"udollic",""
"udorthentic",""
"udoxic",""
"ultic",""
"umbric",""
"ustalfic",""
"ustandic",""
"ustertic",""
"ustic",""
"ustifluventic",""
"ustivitrandic",""
"ustollic",""
"ustoxic",""
"vermic",""
"vertic",""
"vitrandic",""
"vitric",""
"vitritorrandic",""
"vitrixerandic",""
"xanthic",""
"xeralfic",""
"xereptic",""
"xerertic",""
"xeric",""
"xerofluventic",""
"xerollic",""
