element,central,intergrade,extragrade,intragrade,derivation,connotation,simplified,link
abruptic,FALSE,,,FALSE,torn off,abrupt textural change,,
acric,FALSE,,,TRUE,at the end,low apparent cation exchange capacity,,
aeric,FALSE,,,TRUE,air,more aeration than typic subgroup,,
albic,FALSE,,,FALSE,white,presence of albic minerals,,
albaquic,FALSE,,,FALSE,white + water,"presence of albic minerals, wetter than typic subgroup",,
alfic,FALSE,,,TRUE,alfisols,presence of an argillic or kandic horizon,,
alic,FALSE,,,FALSE,alumina,high extractable Al content,,
anionic,FALSE,,,FALSE,neutral,low cation exchange capacity or positively charged,,
anthraquic,FALSE,,,FALSE,human + water,human controlled flooding as in paddy rice culture,,
anthropic,FALSE,,,FALSE,human,an anthropic epipedon,,
aquic,FALSE,,,TRUE,water,wetter than typic subgroup,,
arenic,FALSE,,,TRUE,sand,50-100cm sandy textured surface,,
argic,FALSE,,,TRUE,clay,argillic horizon,,
aridic,FALSE,,,TRUE,"hot, dry",more aridic than typic subgroup,,
calcic,FALSE,,,FALSE,lime,presence of a calcic horizon,,
chromic,FALSE,,,TRUE,color,high chroma colors,,
cumulic,FALSE,,,TRUE,heap,thickened epipedon,,
duric,FALSE,,,FALSE,hard,presence of a duripan,,
durinodic,FALSE,,,FALSE,hard + knot,presence of durinodes,,
dystric,FALSE,,,TRUE,ill,lower base saturation percentage,,
entic,FALSE,,,TRUE,entisols,minimal surface/subsurface development,,
eutric,FALSE,,,TRUE,"good, fertile",higher base saturation percentage,,
fibric,FALSE,,,FALSE,fiber,>25cm of fibric material,,
fluvaquentic,FALSE,,,TRUE,flood plain + water + entisol,"wetter than typic subgroup, evidence of stratification",,
fragic,FALSE,,,FALSE,brittle,presence of fragic properties,,
fragiaquic,FALSE,,,FALSE,brittle + water,"presence of fragic properties, wetter than typic subgroup",,
glacic,FALSE,,,FALSE,icy,presence of ice lenses or wedges,,
glossic,FALSE,,,FALSE,tongue,interfingered horizon boundaries,,
glossaquic,FALSE,,,FALSE,tongue + water,"interfingered horizon boundaries, wetter than typic subgroup",,
grossarenic,FALSE,,,TRUE,thick + sand,>100cm sandy textured surface,,
gypsic,FALSE,,,FALSE,gypsum,presence of gypsic horizon,,
halic,FALSE,,,FALSE,salt,salty,,
