"element","taxon","content","chapter","page","key","taxa","crit","clause","logic"
"^acraquoxic","Acraquoxic Duraquands","<b><u>DADB.</u></b> Other Duraquands that have a sum of extractable bases (by NH4 OAc) plus 1N KCl-extractable Al3+ totaling less than 2.0 cmol(+)/kg in the fine-earth fraction of one or more horizons with a total thickness of 30 cm or more at a depth between 25 and 100 cm either from the mineral soil surface or from the top of an organic layer with andic soil properties, whichever is shallower.",6,88,"Subgroups","Duraquands","DADB",14,"END"
"^acraquoxic","Acraquoxic Melanaquands","<b><u>DAFB.</u></b> Other Melanaquands that have a sum of extractable bases (by NH4 OAc) plus 1N KCl-extractable Al3+ totaling less than 2.0 cmol(+)/kg in the fine-earth fraction of one or more horizons with a total thickness of 30 cm or more at a depth between 25 and 100 cm either from the mineral soil surface or from the top of an organic layer with andic soil properties, whichever is shallower.",6,89,"Subgroups","Melanaquands","DAFB",14,"END"
"^acraquoxic","Acraquoxic Kandiaquults","<b><u>HADA.</u></b> Kandiaquults that have an ECEC of 1.5 cmol(+)/kg clay or less (sum of bases extracted with 1N NH4 OAc pH 7, plus 1N KCl-extractable Al) in one or more horizons within 150 cm of the mineral soil surface.",15,285,"Subgroups","Kandiaquults","HADA",31,"END"
"^acrudoxic","Acrudoxic Haplocryands","<b><u>DCFG.</u></b> Other Haplocryands that have a sum of extractable bases (by NH4 OAc) plus 1N KCl-extractable Al3+ totaling less than 2.0 cmol(+)/kg in the fine-earth fraction of one or more horizons with a total thickness of 30 cm or more at a depth between 25 and 100 cm either from the mineral soil surface or from the top of an organic layer with andic soil properties, whichever is shallower.",6,92,"Subgroups","Haplocryands","DCFG",9,"END"
"^acrudoxic","Acrudoxic Durudands","<b><u>DHBC.</u></b> Other Durudands that have a sum of extractable bases (by NH4 OAc) plus 1N KCl-extractable Al3+ totaling less than 2.0 cmol(+)/kg in the fine-earth fraction of one or more horizons with a total thickness of 30 cm or more at a depth between 25 cm either from the mineral soil surface or from the top of an organic layer with andic soil properties, whichever is shallower, and the cemented horizon.",6,96,"Subgroups","Durudands","DHBC",9,"END"
"^acrudoxic","Acrudoxic Fulvudands","<b><u>DHEF.</u></b> Other Fulvudands that have a sum of extractable bases (by NH4 OAc) plus 1N KCl-extractable Al3+ totaling less than 2.0 cmol(+)/kg in the fine-earth fraction of one or more horizons with a total thickness of 30 cm or more at a depth between 25 and 100 cm either from the mineral soil surface or from the top of an organic layer with andic soil properties, whichever is shallower.",6,97,"Subgroups","Fulvudands","DHEF",9,"END"
"^acrudoxic","Acrudoxic Hydric Hapludands","<b><u>DHFH.</u></b> Other Hapludands that have both:",6,98,"Subgroups","Hapludands","DHFH",9,"AND"
"^acrudoxic","Acrudoxic Hydric Hapludands","&nbsp;<b>1.</b> A sum of extractable bases (by NH4 OAc) plus 1N KCl- extractable Al3+ totaling less than 2.0 cmol(+)/kg in the fine- earth fraction of one or more horizons with a total thickness of 30 cm or more at a depth between 25 and 100 cm either from the mineral soil surface or from the top of an organic layer with andic soil properties, whichever is shallower<i>; and</i>",6,98,"Subgroups","Hapludands","DHFH",10,"AND"
"^acrudoxic","Acrudoxic Hydric Hapludands","&nbsp;<b>2.</b> On undried samples, a 1500 kPa water retention of 70 percent or more throughout a layer 35 cm or more thick within 100 cm of the mineral soil surface or of the top of an organic layer with andic soil properties, whichever is shallower.",6,98,"Subgroups","Hapludands","DHFH",11,"END"
"^acrudoxic","Acrudoxic Thaptic Hapludands","<b><u>DHFI.</u></b> Other Hapludands that have, at a depth between 25 and 100 cm either from the mineral soil surface or from the top of an organic layer with andic soil properties, whichever is shallower, both:",6,98,"Subgroups","Hapludands","DHFI",9,"AND"
"^acrudoxic","Acrudoxic Thaptic Hapludands","&nbsp;<b>1.</b> A sum of extractable bases (by NH4 OAc) plus 1N KCl- extractable Al3+ totaling less than 2.0 cmol(+)/kg in the fine- earth fraction of one or more horizons with a total thickness of 30 cm or more<i>; and</i>",6,98,"Subgroups","Hapludands","DHFI",10,"AND"
"^acrudoxic","Acrudoxic Thaptic Hapludands","&nbsp;<b>2.</b> A layer 10 cm or more thick with more than 3.0 percent organic carbon and the colors of a mollic epipedon throughout, underlying one or more horizons with a total thickness of 10 cm or more that have a color value, moist, 1 unit or more higher and an organic-carbon content 1 percent or more (absolute) lower.",6,98,"Subgroups","Hapludands","DHFI",11,"END"
"^acrudoxic","Acrudoxic Ultic Hapludands","<b><u>DHFJ.</u></b> Other Hapludands that have both:",6,98,"Subgroups","Hapludands","DHFJ",9,"AND"
"^acrudoxic","Acrudoxic Ultic Hapludands","&nbsp;<b>1.</b> A sum of extractable bases (by NH4 OAc) plus 1N KCl- extractable Al3+ totaling less than 2.0 cmol(+)/kg in the fine- earth fraction of one or more horizons with a total thickness of 30 cm or more at a depth between 25 and 100 cm either from the mineral soil surface or from the top of an organic layer with andic soil properties, whichever is shallower<i>; and</i>",6,98,"Subgroups","Hapludands","DHFJ",10,"AND"
"^acrudoxic","Acrudoxic Ultic Hapludands","&nbsp;<b>2.</b> An argillic or kandic horizon that has both:",6,98,"Subgroups","Hapludands","DHFJ",11,"AND"
"^acrudoxic","Acrudoxic Ultic Hapludands","&nbsp;&nbsp;<b>a.</b> An upper boundary within 125 cm of the mineral soil surface or of the top of an organic layer with andic soil properties, whichever is shallower<i>; and</i>",6,98,"Subgroups","Hapludands","DHFJ",12,"AND"
"^acrudoxic","Acrudoxic Ultic Hapludands","&nbsp;&nbsp;<b>b.</b> A base saturation (by sum of cations) of less than 35 percent throughout its upper 50 cm.",6,98,"Subgroups","Hapludands","DHFJ",13,"END"
"^acrudoxic","Acrudoxic Hapludands","<b><u>DHFK.</u></b> Other Hapludands that have a sum of extractable bases (by NH4 OAc) plus 1N KCl-extractable Al3+ totaling less than 2.0 cmol(+)/kg in the fine-earth fraction of one or more horizons with a total thickness of 30 cm or more at a depth between 25 and 100 cm either from the mineral soil surface or from the top of an organic layer with andic soil properties, whichever is shallower.",6,98,"Subgroups","Hapludands","DHFK",9,"END"
"^acrudoxic","Acrudoxic Thaptic Hydrudands","<b><u>DHDC.</u></b> Other Hydrudands that have, at a depth between 25 and 100 cm either from the mineral soil surface or from the top of an organic layer with andic soil properties, whichever is shallower, both:",6,99,"Subgroups","Hydrudands","DHDC",11,"AND"
"^acrudoxic","Acrudoxic Thaptic Hydrudands","&nbsp;<b>1.</b> A sum of extractable bases (by NH4 OAc) plus 1N KCl- extractable Al3+ totaling less than 2.0 cmol(+)/kg in the fine- earth fraction of one or more horizons with a total thickness of 30 cm or more<i>; and</i>",6,100,"Subgroups","Hydrudands","DHDC",12,"AND"
"^acrudoxic","Acrudoxic Thaptic Hydrudands","&nbsp;<b>2.</b> A layer 10 cm or more thick with more than 3.0 percent organic carbon and the colors of a mollic epipedon throughout, underlying one or more horizons with a total thickness of 10 cm or more that have a color value, moist, 1 unit or more higher and an organic-carbon content 1 percent or more (absolute) lower.",6,100,"Subgroups","Hydrudands","DHDC",13,"END"
"^acrudoxic","Acrudoxic Hydrudands","<b><u>DHDD.</u></b> Other Hydrudands that have a sum of extractable bases (by NH4 OAc) plus 1N KCl-extractable Al3+ totaling less than 2.0 cmol(+)/kg in the fine-earth fraction of one or more horizons with a total thickness of 30 cm or more at a depth between 25 and 100 cm either from the mineral soil surface or from the top of an organic layer with andic soil properties, whichever is shallower.",6,100,"Subgroups","Hydrudands","DHDD",11,"END"
"^acrudoxic","Acrudoxic Vitric Melanudands","<b><u>DHCD.</u></b> Other Melanudands that have both:",6,100,"Subgroups","Melanudands","DHCD",9,"AND"
"^acrudoxic","Acrudoxic Vitric Melanudands","&nbsp;<b>1.</b> A sum of extractable bases (by NH4 OAc) plus 1N KCl- extractable Al3+ totaling less than 2.0 cmol(+)/kg in the fine- earth fraction of one or more horizons with a total thickness of 30 cm or more at a depth between 25 and 100 cm either from the mineral soil surface or from the top of an organic layer with andic soil properties, whichever is shallower<i>; and</i>",6,100,"Subgroups","Melanudands","DHCD",10,"AND"
"^acrudoxic","Acrudoxic Vitric Melanudands","&nbsp;<b>2.</b> A 1500 kPa water retention of less than 15 percent on air-dried samples and less than 30 percent on undried samples throughout one or more layers that have andic soil properties and have a total thickness of 25 cm or more within 100 cm of the mineral soil surface or of the top of an organic layer with andic soil properties, whichever is shallower.",6,100,"Subgroups","Melanudands","DHCD",11,"END"
"^acrudoxic","Acrudoxic Hydric Melanudands","<b><u>DHCE.</u></b> Other Melanudands that have both:",6,100,"Subgroups","Melanudands","DHCE",9,"AND"
"^acrudoxic","Acrudoxic Hydric Melanudands","&nbsp;<b>1.</b> A sum of extractable bases (by NH4 OAc) plus 1N KCl-extractable Al3+ totaling less than 2.0 cmol(+)/kg in the fine-earth fraction of one or more horizons with a total thickness of 30 cm or more at a depth between 25 and 100 cm either from the mineral soil surface or from the top of an organic layer with andic soil properties, whichever is shallower<i>; and</i>",6,100,"Subgroups","Melanudands","DHCE",10,"AND"
"^acrudoxic","Acrudoxic Hydric Melanudands","&nbsp;<b>2.</b> On undried samples, a 1500 kPa water retention of 70 percent or more throughout a layer 35 cm or more thick within 100 cm of the mineral soil surface or of the top of an organic layer with andic soil properties, whichever is shallower.",6,101,"Subgroups","Melanudands","DHCE",11,"END"
"^acrudoxic","Acrudoxic Melanudands","<b><u>DHCF.</u></b> Other Melanudands that have a sum of extractable bases (by NH4 OAc) plus 1N KCl-extractable Al3+ totaling less than 2.0 cmol(+)/kg in the fine-earth fraction of one or more horizons with a total thickness of 30 cm or more at a depth between 25 and 100 cm either from the mineral soil surface or from the top of an organic layer with andic soil properties, whichever is shallower.",6,101,"Subgroups","Melanudands","DHCF",9,"END"
"^acrudoxic","Acrudoxic Placudands","<b><u>DHAC.</u></b> Other Placudands that have a sum of extractable bases (by NH4 OAc) plus 1N KCl-extractable Al3+ totaling less than 2.0 cmol(+)/kg in the fine-earth fraction of one or more horizons with a total thickness of 30 cm or more at a depth between 25 cm either from the mineral soil surface or from the top of an organic layer with andic soil properties, whichever is shallower, and the placic horizon.",6,102,"Subgroups","Placudands","DHAC",9,"END"
"^acrudoxic","Acrudoxic Plinthic Kandiudults","<b><u>HCCH.</u></b> Other Kandiudults that have both of the following:",15,294,"Subgroups","Kandiudults","HCCH",26,"AND"
